13995,2014,72583,Union City, GA,2C3CDYAG9EH274428,Dodge,ChallengerSXT
13194,2016,37290,Beaumont, TX,1C3CDFBA7GD717092,Dodge,DartSXT
17995,2017,27308,Downey, CA,3C4PDCBG0HT511110,Dodge,JourneySXT
18323,2016,43635,Scottsdale, AZ,2C3CDZAG4GH213495,Dodge,ChallengerSXT
16990,2017,31266,Glen Burnie, MD,3C4PDCBG1HT522973,Dodge,JourneySXT
18000,2016,41255,Scottsdale, AZ,2C3CDZAG8GH263557,Dodge,ChallengerSXT
12995,2015,42611,Ventura, CA,1C3CDFBB0FD310528,Dodge,DartSXT
26989,2017,20750,Plano, TX,2C3CDXCT9HH523285,Dodge,ChargerR/T
12984,2014,35190,Hanford, CA,1C3CDFBB6ED868530,Dodge,DartSXT
15989,2015,40082,Killeen, TX,3C4PDCBB6FT747522,Dodge,JourneySXT
12980,2015,30519,West Bountiful, UT,1C3CDFEB9FD243973,Dodge,DartGT
10500,2013,41453,Cypress, TX,1C3CDFBA0DD202463,Dodge,DartRallye
16544,2016,22362,Matteson, IL,3C4PDCBG8GT231739,Dodge,JourneyFWD
20999,2014,62699,Bowling Green, KY,2C3CDXDT9EH320343,Dodge,ChargerRT
15900,2016,36152,Aurora, CO,3C4PDDBG5GT168217,Dodge,JourneyAWD
19498,2012,64292,San Antonio, TX,2C3CDXCT8CH300664,Dodge,Charger4dr
11940,2015,41350,Canfield, OH,1C3CDFBB0FD213586,Dodge,DartSXT
23137,2015,51960,Lawrenceville, GA,2C3CDXCT8FH797879,Dodge,ChargerRT
13999,2013,37420,Killeen, TX,3C4PDCAB1DT715737,Dodge,JourneySE
20619,2016,15491,Brooklyn Park, MN,2C3CDZAG3GH321526,Dodge,ChallengerSXT
27900,2017,169,Glendale, CA,2C3CDXHG6HH606409,Dodge,ChargerSXT
13500,2015,38906,Sherman, TX,1C3CDFBBXFD223803,Dodge,DartSXT
11890,2013,61859,Kansas City, MO,3C4PDCBB1DT713825,Dodge,JourneySXT
16979,2016,20794,Alhambra, CA,3C4PDCAB9GT110837,Dodge,JourneyFWD
14589,2014,26024,Orlando, FL,3C4PDCAB3ET303529,Dodge,JourneySE
16900,2016,25262,Little Rock, AR,3C4PDCBB9GT219202,Dodge,JourneyFWD
25988,2016,21891,Fruitland Park, FL,2C3CDXCT7GH347545,Dodge,ChargerRT
8995,2008,149039,Jacksonville, FL,2B3KA53H58H174644,Dodge,Charger4dr
13680,2016,54874,Austin, TX,3C4PDCAB3GT138651,Dodge,JourneyFWD
16991,2013,43149,Weatherford, TX,2C3CDYAG2DH737119,Dodge,ChallengerSXT
23682,2015,42198,AURORA, OH,2C3CDXJG5FH875637,Dodge,ChargerSXT
