22985,2014,41608,Milwaukee, WI,WBA3C3G56ENS72485,BMW,3
14472,2010,59446,Manchester, NH,WBANV1C51AC157909,BMW,5
23995,2014,17823,Fairfield, CA,WBA3C3G50ENS68948,BMW,3
14985,2011,86619,Wilmington, NC,WBAFR1C57BC743363,BMW,5
19786,2014,58843,Waukesha, WI,WBAVL1C57EVY11909,BMW,X1xDrive28i
21980,2014,38888,Lexington, KY,WBA3B3C58EJ978826,BMW,3
19480,2014,8757,Philadelphia, PA,WBY1Z2C53EV286139,BMW,i3Hatchback
23950,2013,16963,St. Louis, MO,WBADW7C59DE732519,BMW,3
12477,2010,78783,Tempe, AZ,WBANU5C55AC365267,BMW,5
10900,2011,146533,Houston, TX,WBAPN7C56BA948610,BMW,3
8999,2008,103469,Fremont, CA,WBANU53508CT09473,BMW,5
23500,2015,29194,Hasbrouck Heights, NJ,WBA3C3G59FNS73003,BMW,3
21295,2014,47155,Great Neck, NY,WBA3B5G52ENS06580,BMW,3
5245,2002,137256,Falls Church, VA,WBABS33452JY43463,BMW,3
22995,2014,26709,Suffolk, VA,WBA3B5C58EP540008,BMW,3
22741,2014,30858,Atlanta, GA,WBA3A5C55EJ584957,BMW,3
12999,2011,73730,Lakewood, WA,WBAUP9C50BVL89895,BMW,1
21999,2013,30125,Orlando, FL,WBAKG7C54DJ437565,BMW,3
21988,2015,37592,San Rafael, CA,WBAVM1C57FVW58043,BMW,X1sDrive28i
21500,2013,36138,Scottsdale, AZ,WBA3C1C56DF444596,BMW,3
15452,2007,75889,Roseville, CA,WBAWL73507PX45976,BMW,3
24800,2016,33955,Marietta, GA,WBA8E9G5XGNT83949,BMW,3
25950,2016,8369,Carrollton, TX,WBA8E1G51GNU12093,BMW,3
16995,2010,24457,Streamwood, IL,WBANV1C59AC388069,BMW,5
7990,2008,101127,Miami, FL,WBXPC93408WJ19042,BMW,X3AWD
10999,2008,119639,Fairfield, OH,WBAWC73568E066355,BMW,3
12791,2009,75145,Pompano Beach, FL,WBANW13509C162317,BMW,5
22995,2015,35387,Westborough, MA,WBA3B5G57FNS14319,BMW,3
17593,2011,74287,Sunnyvale, CA,WBADX7C58BE581201,BMW,3
20990,2015,59540,Bronx, NY,WBA3B5C52FF960466,BMW,3
15998,2011,85270,North Hollywood, CA,WBAKE5C55BE573767,BMW,3
22852,2014,40045,Las Vegas, NV,WBA3A5C52EP602893,BMW,3
15575,2009,73179,Daphne, AL,WBAWL73589P473695,BMW,3
16977,2013,35953,Hollywood, FL,5UXWX9C59D0A20756,BMW,X3xDrive28i
20995,2013,42316,Virginia Beach, VA,WBADW3C57DJ525787,BMW,3
27649,2016,7330,Plano, TX,WBA8E1G50GNT99482,BMW,3
9260,2007,95573,Louisville, KY,WBXPC93407WJ00831,BMW,X3AWD
10200,2009,97800,Richmond, VA,WBANV93509C134034,BMW,5
8999,2008,96243,Roseville, CA,WBAUP73518VF09347,BMW,1
22195,2014,36515,Westbury, NY,WBA3C1C52EK112521,BMW,3
17861,2014,38007,Mountain View, CA,WBY1Z4C58EVX63448,BMW,i3Hatchback
15491,2011,91467,Riverside, CA,WBAPM5C52BE578496,BMW,3
19985,2015,56341,Fremont, CA,WBAVM1C51FVW56921,BMW,X1sDrive28i
22900,2014,41298,Concord, CA,WBA3C1C50EK116387,BMW,3
9830,2007,125261,Beaverton, OR,WBAVD53537A006410,BMW,3
24495,2014,14804,Coconut Creek, FL,WBA3A5G50ENP31964,BMW,3
23750,2014,29715,Hurst, TX,WBA3C1C55EK107930,BMW,3
19711,2014,21140,North Hollywood, CA,WBY1Z4C5XEV272850,BMW,i3Hatchback
22950,2014,27477,Carrollton, TX,WBA3C1C57EK116788,BMW,3
22999,2014,40650,Waukesha, WI,WBA3C3C51EF983575,BMW,3
19995,2014,6776,Alexandria, VA,WBY1Z2C51EV283756,BMW,i3Hatchback
7900,2008,117000,Dallas, TX,WBANW13518CN55242,BMW,5
23490,2016,38213,Plano, TX,WBA8E9G54GNT82781,BMW,3
21295,2014,47448,Great Neck, NY,WBA3B5C58EP543412,BMW,3
22800,2014,49394,Minnetonka, MN,WBA3B3C54EJ978077,BMW,3
23991,2014,23115,Charlotte, NC,WBA3B1G56ENS80982,BMW,3
10997,2010,96932,Farmington Hills, MI,WBANU5C54AC364188,BMW,5
22995,2015,35607,Great Neck, NY,WBA3A5C50FP604613,BMW,3
19996,2014,63141,Bellevue, WA,WBA3D3C59EF099039,BMW,3
12500,2008,101823,Marietta, GA,WBAWL73558PX54769,BMW,3
11171,2009,86274,North Hollywood, CA,WBANW13589C161643,BMW,5
15999,2010,76890,Duluth, GA,WBAWL1C53AP491524,BMW,3
23995,2014,20950,Coconut Creek, FL,WBA3A5C52EF605976,BMW,3
15999,2010,76914,Fremont, CA,WBAWB7C56AP048712,BMW,3
22890,2014,28329,Plano, TX,WBA3C1C58EK111793,BMW,3
22990,2014,34773,Arlington, TX,WBA3A5C56EP601858,BMW,3
21588,2014,35553,Ft. Lauderdale, FL,WBAVM1C57EVW55710,BMW,X1sDrive28i
24445,2014,28122,Roseville, CA,WBA3C1G51ENR50015,BMW,3
23000,2014,34666,Arlington, TX,WBA3B3G50ENR81707,BMW,3
24488,2014,20850,Ft. Lauderdale, FL,WBA3A5G52ENP33926,BMW,3
9791,2007,71162,North Hollywood, CA,WBXPC93467WF00055,BMW,X3AWD
9821,2007,133132,Fort Pierce, FL,WBAWB33597PV72812,BMW,3
22288,2014,26279,Torrance, CA,WBAVM1C5XEVW55412,BMW,X1sDrive28i
24888,2015,20909,Eatontown, NJ,WBA3C3G51FNS74016,BMW,3
24670,2014,23550,Chapel Hill, NC,WBA3C3G54ENS67771,BMW,3
21825,2014,41230,Sterling, VA,WBA3B5C56EF599791,BMW,3
21431,2015,41061,Renton, WA,WBAVL1C53FVY35724,BMW,X1xDrive28i
17998,2014,31015,Tempe, AZ,WBY1Z4C5XEV273285,BMW,i3Hatchback
17500,2011,67535,Westfield, IN,WBAPL5C57BA982579,BMW,3
8900,2006,128114,Castle Rock, CO,WBAVD33576KV60739,BMW,3
23395,2013,23580,Houston, TX,WBA3A5C55DF600981,BMW,3
19860,2015,23525,Newport Beach, CA,WBY1Z4C59FV500385,BMW,i3Hatchback
4997,2003,149336,Temecula, CA,WBAAZ33403PH30867,BMW,3
24375,2016,33924,Slidell, LA,WBA8E9G52GNT47558,BMW,3
